otu_id,mean_abundance,occurrence,Kingdom,Phylum,Class,Order,Family,Genus,Species,predicted_occurrence,lower_conf_int,upper_conf_int
412690,4.1137752703338036e-05,0.0875,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,g__Microterricola,s__viridarii,0.023597442908557142,0.0062828407344196965,0.08456779322643876
2305220,4.1137752703338036e-05,0.0875,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__sp. W1SF4,0.023597442908557142,0.0062828407344196965,0.08456779322643876
53376,4.1137752703338036e-05,0.0875,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__heidelbergense,0.023597442908557142,0.0062828407344196965,0.08456779322643876
1076124,4.1137752703338036e-05,0.0875,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micromonosporales,f__Micromonosporaceae,g__Phytohabitans,s__flavus,0.023597442908557142,0.0062828407344196965,0.08456779322643876
642780,4.1137752703338036e-05,0.0875,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Marmoricola,s__scoriae,0.023597442908557142,0.0062828407344196965,0.08456779322643876
52,4.1137752703338036e-05,0.0875,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Polyangiaceae,g__Chondromyces,s__crocatus,0.023597442908557142,0.0062828407344196965,0.08456779322643876
2742130,4.1137752703338036e-05,0.0875,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__sp. NA00687,0.023597442908557142,0.0062828407344196965,0.08456779322643876
227605,4.1137752703338036e-05,0.0875,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Methylocella,s__tundrae,0.023597442908557142,0.0062828407344196965,0.08456779322643876
408015,4.1137752703338036e-05,0.0875,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__xiamenensis,0.023597442908557142,0.0062828407344196965,0.08456779322643876
1771,4.1137752703338036e-05,0.0875,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycolicibacterium,s__phlei,0.023597442908557142,0.0062828407344196965,0.08456779322643876
68895,4.1137752703338036e-05,0.0875,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Cupriavidus,s__basilensis,0.023597442908557142,0.0062828407344196965,0.08456779322643876
356852,4.1137752703338036e-05,0.0875,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micromonosporales,f__Micromonosporaceae,g__Micromonospora,s__coxensis,0.023597442908557142,0.0062828407344196965,0.08456779322643876
359,4.1137752703338036e-05,0.0875,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Agrobacterium,s__rhizogenes,0.023597442908557142,0.0062828407344196965,0.08456779322643876
1219491,4.1137752703338036e-05,0.0875,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptosporangiales,f__Thermomonosporaceae,g__Actinomadura,s__sp. WMMB 499,0.023597442908557142,0.0062828407344196965,0.08456779322643876
2136401,4.1137752703338036e-05,0.0875,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__sp. YIM 121038,0.023597442908557142,0.0062828407344196965,0.08456779322643876
67345,4.1137752703338036e-05,0.0875,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__prasinus,0.023597442908557142,0.0062828407344196965,0.08456779322643876
35,4.1137752703338036e-05,0.0875,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Myxococcaceae,g__Corallococcus,s__macrosporus,0.023597442908557142,0.0062828407344196965,0.08456779322643876
1351,4.1137752703338036e-05,0.0875,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus,s__faecalis,0.023597442908557142,0.0062828407344196965,0.08456779322643876
463040,4.1137752703338036e-05,0.0875,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Alcaligenaceae,g__Bordetella,s__genomosp. 13,0.023597442908557142,0.0062828407344196965,0.08456779322643876
1912,4.1137752703338036e-05,0.0875,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__hygroscopicus,0.023597442908557142,0.0062828407344196965,0.08456779322643876
2675222,4.1137752703338036e-05,0.0875,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micromonosporales,f__Micromonosporaceae,g__Micromonospora,s__sp. WMMC415,0.023597442908557142,0.0062828407344196965,0.08456779322643876
1938606,4.1137752703338036e-05,0.0875,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Janthinobacterium,s__sp. LM6,0.023597442908557142,0.0062828407344196965,0.08456779322643876
1882682,4.701457451810061e-05,0.1,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylobacteriaceae,g__Microvirga,s__ossetica,0.026978865555569165,0.007755739734247043,0.08954787859892513
2760089,4.701457451810061e-05,0.1,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Nocardioides,s__sp. S-713,0.026978865555569165,0.007755739734247043,0.08954787859892513
2591108,4.701457451810061e-05,0.1,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptosporangiales,f__Thermomonosporaceae,g__Actinomadura,s__sp. WMMA1423,0.026978865555569165,0.007755739734247043,0.08954787859892513
1971,4.701457451810061e-05,0.1,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__noursei,0.026978865555569165,0.007755739734247043,0.08954787859892513
34,4.701457451810061e-05,0.1,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Myxococcaceae,g__Myxococcus,s__xanthus,0.026978865555569165,0.007755739734247043,0.08954787859892513
2705439,4.701457451810061e-05,0.1,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__sp. S4.7,0.026978865555569165,0.007755739734247043,0.08954787859892513
1833,4.701457451810061e-05,0.1,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Nocardiaceae,g__Rhodococcus,s__erythropolis,0.026978865555569165,0.007755739734247043,0.08954787859892513
368607,4.701457451810061e-05,0.1,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Janthinobacterium,s__svalbardensis,0.026978865555569165,0.007755739734247043,0.08954787859892513
36818,4.701457451810061e-05,0.1,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__subrutilus,0.026978865555569165,0.007755739734247043,0.08954787859892513
2762748,4.701457451810061e-05,0.1,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingosinithalassobacter,s__sp. CS137,0.026978865555569165,0.007755739734247043,0.08954787859892513
1407499,4.701457451810061e-05,0.1,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halobacterium,s__hubeiense,0.026978865555569165,0.007755739734247043,0.08954787859892513
193,4.701457451810061e-05,0.1,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__Azospirillum,s__lipoferum,0.026978865555569165,0.007755739734247043,0.08954787859892513
2233851,4.701457451810061e-05,0.1,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Blastochloris,s__tepida,0.026978865555569165,0.007755739734247043,0.08954787859892513
446860,4.701457451810061e-05,0.1,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Kocuria,s__flava,0.026978865555569165,0.007755739734247043,0.08954787859892513
1385,4.701457451810061e-05,0.1,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__,g__,s__,0.026978865555569165,0.007755739734247043,0.08954787859892513
1911175,4.701457451810061e-05,0.1,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae,g__Amycolatopsis,s__sp. BJA-103,0.026978865555569165,0.007755739734247043,0.08954787859892513
2202827,4.701457451810061e-05,0.1,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylobacteriaceae,g__Methylobacterium,s__terrae,0.026978865555569165,0.007755739734247043,0.08954787859892513
2126319,4.701457451810061e-05,0.1,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Variovorax,s__sp. PMC12,0.026978865555569165,0.007755739734247043,0.08954787859892513
561184,4.701457451810061e-05,0.1,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Mameliella,s__alba,0.026978865555569165,0.007755739734247043,0.08954787859892513
