	Difference off Neutral Model	Kingdom	Phylum	Class	Order	Family	Genus	Species
1	0.9624999999995861	k__Viruses	p__Peploviricota	c__Herviviricetes	o__Herpesvirales	f__Herpesviridae	g__Roseolovirus	s__Human betaherpesvirus 6B
2	0.7	k__Bacteria	p__Proteobacteria	c__Epsilonproteobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter	s__pylori
0	0.6374993485419638	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	g__Haemophilus	s__parahaemolyticus
