	Difference off Neutral Model	Kingdom	Phylum	Class	Order	Family	Genus	Species
5	0.7311104011470907	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobium elkanii
9	0.6968416885530437	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	s__Cutibacterium acnes
7	0.6908721961836604	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	s__Cutibacterium acnes
6	0.690304985081895	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	s__Cutibacterium acnes
8	0.6498799114807801	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	s__Cutibacterium acnes
4	0.5761771261058481	k__Bacteria	p__Tenericutes	c__Mollicutes	o__Acholeplasmatales	f__Acholeplasmataceae	g__Candidatus Phytoplasma	s__Milkweed yellows phytoplasma
1	0.5693585740280537	k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Planctomycetales	f__Planctomycetaceae	g__Planctopirus	s__Planctopirus sp. JC280
2	0.5670841988796463	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	g__Orrella	s__Orrella dioscoreae
3	0.5231073859996552	k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Faecalitalea	s__Faecalitalea cylindroides
0	0.5010921067213078	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__	g__Rhizobacter	s__Rhizobacter sp. Root404
